# Q_y tabla NEST para RED-100
# Xe NR, rho=2.9 g/cm3, E=218 V/cm
# T_nr[keV]   Qy[e-/keV]
# N_puntos = 2000
0.894397   0.000000
0.896873   0.000000
0.899350   0.000000
0.901826   0.000000
0.904302   0.000000
0.906778   0.000000
0.909255   0.000000
0.911731   0.000000
0.914207   0.000000
0.916683   0.000000
0.919160   0.000000
0.921636   0.000000
0.924112   0.000000
0.926588   0.000000
0.929065   0.000000
0.931541   0.000000
0.934017   0.000000
0.936493   0.000000
0.938969   0.000000
0.941446   0.000000
0.943922   0.000000
0.946398   0.000000
0.948874   0.000000
0.951351   0.000000
0.953827   0.000000
0.956303   0.000000
0.958779   0.000000
0.961256   0.000000
0.963732   0.000000
0.966208   0.000000
0.968684   0.000000
0.971161   0.000000
0.973637   0.000000
0.976113   0.000000
0.978589   0.000000
0.981066   0.000000
0.983542   0.000000
0.986018   0.000000
0.988494   0.000000
0.990970   0.000000
0.993447   0.000000
0.995923   0.000000
0.998399   0.000000
1.000875   0.000000
1.003352   0.000000
1.005828   0.000000
1.008304   0.000000
1.010780   0.000000
1.013257   0.000000
1.015733   0.000000
1.018209   0.000000
1.020685   0.000000
1.023162   0.000000
1.025638   0.000000
1.028114   0.000000
1.030590   0.000000
1.033067   0.000000
1.035543   0.000000
1.038019   0.000000
1.040495   0.000000
1.042971   0.000000
1.045448   0.000000
1.047924   0.000000
1.050400   0.000000
1.052876   0.000000
1.055353   0.000000
1.057829   0.000000
1.060305   0.000000
1.062781   0.000000
1.065258   0.000000
1.067734   0.000000
1.070210   0.000000
1.072686   0.000000
1.075163   0.000000
1.077639   0.000000
1.080115   0.000000
1.082591   0.000000
1.085068   0.000000
1.087544   0.000000
1.090020   0.000000
1.092496   0.000000
1.094972   0.000000
1.097449   0.000000
1.099925   0.000000
1.102401   0.000000
1.104877   0.000000
1.107354   0.000000
1.109830   0.000000
1.112306   0.000000
1.114782   0.000000
1.117259   0.000000
1.119735   0.000000
1.122211   0.000000
1.124687   0.000000
1.127164   0.000000
1.129640   0.000000
1.132116   0.000000
1.134592   0.000000
1.137069   0.000000
1.139545   0.000000
1.142021   0.000000
1.144497   0.000000
1.146973   0.000000
1.149450   0.000000
1.151926   0.000000
1.154402   0.000000
1.156878   0.000000
1.159355   0.000000
1.161831   0.000000
1.164307   0.000000
1.166783   0.000000
1.169260   0.000000
1.171736   0.000000
1.174212   0.000000
1.176688   0.000000
1.179165   0.000000
1.181641   0.000000
1.184117   0.000000
1.186593   0.000000
1.189070   0.000000
1.191546   0.000000
1.194022   0.000000
1.196498   0.000000
1.198974   0.000000
1.201451   0.000000
1.203927   0.000000
1.206403   0.000000
1.208879   0.000000
1.211356   0.000000
1.213832   0.000000
1.216308   0.000000
1.218784   0.000000
1.221261   0.000000
1.223737   0.000000
1.226213   0.000000
1.228689   0.000000
1.231166   0.000000
1.233642   0.000000
1.236118   0.000000
1.238594   0.000000
1.241071   0.000000
1.243547   0.000000
1.246023   0.000000
1.248499   0.000000
1.250975   0.000000
1.253452   0.000000
1.255928   0.000000
1.258404   0.000000
1.260880   0.000000
1.263357   0.000000
1.265833   0.000000
1.268309   0.000000
1.270785   0.000000
1.273262   0.000000
1.275738   0.000000
1.278214   0.000000
1.280690   0.000000
1.283167   0.000000
1.285643   0.000000
1.288119   0.000000
1.290595   0.000000
1.293072   0.000000
1.295548   0.000000
1.298024   0.000000
1.300500   0.000000
1.302976   0.000000
1.305453   0.000000
1.307929   0.000000
1.310405   0.000000
1.312881   0.000000
1.315358   0.000000
1.317834   0.000000
1.320310   0.000000
1.322786   0.000000
1.325263   0.000000
1.327739   0.000000
1.330215   0.000000
1.332691   0.000000
1.335168   0.000000
1.337644   0.000000
1.340120   0.000000
1.342596   0.000000
1.345073   0.000000
1.347549   0.000000
1.350025   0.000000
1.352501   0.000000
1.354977   0.000000
1.357454   0.000000
1.359930   0.000000
1.362406   0.000000
1.364882   0.000000
1.367359   0.000000
1.369835   0.000000
1.372311   0.000000
1.374787   0.000000
1.377264   0.000000
1.379740   0.000000
1.382216   0.000000
1.384692   0.000000
1.387169   0.000000
1.389645   0.000000
1.392121   0.000000
1.394597   0.000000
1.397074   0.000000
1.399550   0.000000
1.402026   0.000000
1.404502   0.000000
1.406978   0.000000
1.409455   0.000000
1.411931   0.000000
1.414407   0.000000
1.416883   0.000000
1.419360   0.000000
1.421836   0.000000
1.424312   0.000000
1.426788   0.000000
1.429265   0.000000
1.431741   0.000000
1.434217   0.000000
1.436693   0.000000
1.439170   0.000000
1.441646   0.000000
1.444122   0.000000
1.446598   0.000000
1.449075   0.000000
1.451551   0.000000
1.454027   0.000000
1.456503   0.000000
1.458979   0.000000
1.461456   0.000000
1.463932   0.000000
1.466408   0.000000
1.468884   0.000000
1.471361   0.000000
1.473837   0.000000
1.476313   0.000000
1.478789   0.000000
1.481266   0.000000
1.483742   0.000000
1.486218   0.000000
1.488694   0.000000
1.491171   0.000000
1.493647   0.000000
1.496123   0.000000
1.498599   0.000000
1.501076   0.000000
1.503552   0.000000
1.506028   0.000000
1.508504   0.000000
1.510980   0.000000
1.513457   0.000000
1.515933   0.000000
1.518409   0.000000
1.520885   0.000000
1.523362   0.000000
1.525838   0.000000
1.528314   0.000000
1.530790   0.000000
1.533267   0.000000
1.535743   0.000000
1.538219   0.000000
1.540695   0.000000
1.543172   0.000000
1.545648   0.000000
1.548124   0.000000
1.550600   0.000000
1.553077   0.000000
1.555553   0.000000
1.558029   0.000000
1.560505   0.000000
1.562981   0.000000
1.565458   0.000000
1.567934   0.000000
1.570410   0.000000
1.572886   0.000000
1.575363   0.000000
1.577839   0.000000
1.580315   0.000000
1.582791   0.000000
1.585268   0.000000
1.587744   0.000000
1.590220   0.000000
1.592696   0.000000
1.595173   0.000000
1.597649   0.000000
1.600125   0.000000
1.602601   0.000000
1.605078   0.000000
1.607554   0.000000
1.610030   0.000000
1.612506   0.000000
1.614982   0.000000
1.617459   0.000000
1.619935   0.000000
1.622411   0.000000
1.624887   0.000000
1.627364   0.000000
1.629840   0.000000
1.632316   0.000000
1.634792   0.000000
1.637269   0.000000
1.639745   0.000000
1.642221   0.000000
1.644697   0.000000
1.647174   0.000000
1.649650   0.000000
1.652126   0.000000
1.654602   0.000000
1.657079   0.000000
1.659555   0.000000
1.662031   0.000000
1.664507   0.000000
1.666983   0.000000
1.669460   0.000000
1.671936   0.000000
1.674412   0.000000
1.676888   0.000000
1.679365   0.000000
1.681841   0.000000
1.684317   0.000000
1.686793   0.000000
1.689270   0.000000
1.691746   0.000000
1.694222   0.000000
1.696698   0.000000
1.699175   0.000000
1.701651   0.000000
1.704127   0.000000
1.706603   0.000000
1.709080   0.000000
1.711556   0.000000
1.714032   0.000000
1.716508   0.000000
1.718984   0.000000
1.721461   0.000000
1.723937   0.000000
1.726413   0.000000
1.728889   0.000000
1.731366   0.000000
1.733842   0.000000
1.736318   0.000000
1.738794   0.000000
1.741271   0.000000
1.743747   0.000000
1.746223   0.000000
1.748699   0.000000
1.751176   0.000000
1.753652   0.000000
1.756128   0.000000
1.758604   0.000000
1.761081   0.000000
1.763557   0.000000
1.766033   0.000000
1.768509   0.000000
1.770985   0.000000
