# NE_LO   sin2theta_W   A(s)   dchi2
    3    1.033333E-02    5.018326E-02    3.645222E+03
    4    1.033333E-02    5.018326E-02    2.772015E+03
    1    1.050000E-02    5.043746E-02    6.602555E+03
    2    1.050000E-02    5.043746E-02    4.818822E+03
    3    1.050000E-02    5.043746E-02    3.643271E+03
    4    1.050000E-02    5.043746E-02    2.770532E+03
    1    1.066667E-02    5.069230E-02    6.599012E+03
    2    1.066667E-02    5.069230E-02    4.816236E+03
    3    1.066667E-02    5.069230E-02    3.641316E+03
    4    1.066667E-02    5.069230E-02    2.769045E+03
    1    1.083333E-02    5.094778E-02    6.595460E+03
    2    1.083333E-02    5.094778E-02    4.813644E+03
    3    1.083333E-02    5.094778E-02    3.639356E+03
    4    1.083333E-02    5.094778E-02    2.767555E+03
    1    1.100000E-02    5.120391E-02    6.591901E+03
    2    1.100000E-02    5.120391E-02    4.811046E+03
    3    1.100000E-02    5.120391E-02    3.637392E+03
    4    1.100000E-02    5.120391E-02    2.766061E+03
    1    1.116667E-02    5.146068E-02    6.588333E+03
    2    1.116667E-02    5.146068E-02    4.808443E+03
    3    1.116667E-02    5.146068E-02    3.635423E+03
    4    1.116667E-02    5.146068E-02    2.764564E+03
    1    1.133333E-02    5.171809E-02    6.584758E+03
    2    1.133333E-02    5.171809E-02    4.805833E+03
    3    1.133333E-02    5.171809E-02    3.633451E+03
    4    1.133333E-02    5.171809E-02    2.763064E+03
    1    1.150000E-02    5.197614E-02    6.581175E+03
    2    1.150000E-02    5.197614E-02    4.803218E+03
    3    1.150000E-02    5.197614E-02    3.631473E+03
    4    1.150000E-02    5.197614E-02    2.761560E+03
    1    1.166667E-02    5.223483E-02    6.577584E+03
    2    1.166667E-02    5.223483E-02    4.800597E+03
    3    1.166667E-02    5.223483E-02    3.629492E+03
    4    1.166667E-02    5.223483E-02    2.760053E+03
    1    1.183333E-02    5.249417E-02    6.573984E+03
    2    1.183333E-02    5.249417E-02    4.797970E+03
    3    1.183333E-02    5.249417E-02    3.627506E+03
    4    1.183333E-02    5.249417E-02    2.758543E+03
    1    1.200000E-02    5.275415E-02    6.570377E+03
    2    1.200000E-02    5.275415E-02    4.795338E+03
    3    1.200000E-02    5.275415E-02    3.625515E+03
    4    1.200000E-02    5.275415E-02    2.757029E+03
    1    1.216667E-02    5.301477E-02    6.566762E+03
    2    1.216667E-02    5.301477E-02    4.792699E+03
    3    1.216667E-02    5.301477E-02    3.623521E+03
    4    1.216667E-02    5.301477E-02    2.755512E+03
    1    1.233333E-02    5.327603E-02    6.563139E+03
    2    1.233333E-02    5.327603E-02    4.790055E+03
    3    1.233333E-02    5.327603E-02    3.621521E+03
    4    1.233333E-02    5.327603E-02    2.753992E+03
    1    1.250000E-02    5.353794E-02    6.559509E+03
    2    1.250000E-02    5.353794E-02    4.787405E+03
    3    1.250000E-02    5.353794E-02    3.619518E+03
    4    1.250000E-02    5.353794E-02    2.752469E+03
    1    1.266667E-02    5.380049E-02    6.555870E+03
    2    1.266667E-02    5.380049E-02    4.784750E+03
    3    1.266667E-02    5.380049E-02    3.617510E+03
    4    1.266667E-02    5.380049E-02    2.750942E+03
    1    1.283333E-02    5.406368E-02    6.552223E+03
    2    1.283333E-02    5.406368E-02    4.782088E+03
    3    1.283333E-02    5.406368E-02    3.615498E+03
    4    1.283333E-02    5.406368E-02    2.749412E+03
    1    1.300000E-02    5.432751E-02    6.548569E+03
    2    1.300000E-02    5.432751E-02    4.779421E+03
    3    1.300000E-02    5.432751E-02    3.613481E+03
    4    1.300000E-02    5.432751E-02    2.747878E+03
    1    1.316667E-02    5.459198E-02    6.544907E+03
    2    1.316667E-02    5.459198E-02    4.776748E+03
    3    1.316667E-02    5.459198E-02    3.611461E+03
    4    1.316667E-02    5.459198E-02    2.746341E+03
    1    1.333333E-02    5.485710E-02    6.541236E+03
    2    1.333333E-02    5.485710E-02    4.774069E+03
    3    1.333333E-02    5.485710E-02    3.609435E+03
    4    1.333333E-02    5.485710E-02    2.744801E+03
    1    1.350000E-02    5.512286E-02    6.537558E+03
    2    1.350000E-02    5.512286E-02    4.771385E+03
    3    1.350000E-02    5.512286E-02    3.607406E+03
