# EEE =   0.328000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  1.056570713392E+00    5.19829942087068E-04      13    5.71606594312443E-01    7.30751814942980E+00
  1.063829787234E+00    4.74032314803904E-04      13    5.73823905275529E-01    7.36324104961543E+00
  1.071088861076E+00    4.32117432638037E-04      13    5.72724640960523E-01    7.41889865955422E+00
  1.078347934919E+00    3.93810461465101E-04      13    5.76019657131139E-01    7.47449156025497E+00
  1.085607008761E+00    3.58793620788457E-04      13    5.73970317843509E-01    7.53002331952782E+00
  1.092866082603E+00    3.26818862031118E-04      13    5.74238690310109E-01    7.58548782016033E+00
  1.100125156446E+00    2.97630013529179E-04      13    5.79397642211185E-01    7.64089370734810E+00
  1.107384230288E+00    2.70991365732411E-04      13    5.75876212257867E-01    7.69623435440576E+00
  1.114643304130E+00    2.46710151517535E-04      13    5.83354510015272E-01    7.75151626639719E+00
  1.121902377972E+00    2.24566213948433E-04      14    5.72313331366428E-01    7.80673346322610E+00
  1.129161451815E+00    2.04392690056919E-04      14    5.73763234180862E-01    7.86189369912239E+00
  1.136420525657E+00    1.86020782664581E-04      14    5.80545478986568E-01    7.91699075737181E+00
  1.143679599499E+00    1.69287045111173E-04      14    5.70822870636330E-01    7.97203056141833E+00
  1.150938673342E+00    1.54057278823063E-04      14    5.68568661358902E-01    8.02700927317164E+00
  1.158197747184E+00    1.40202545152515E-04      14    5.72642510525907E-01    8.08193018520570E+00
  1.165456821026E+00    1.27594814995442E-04      14    5.70715254875948E-01    8.13679281656531E+00
  1.172715894869E+00    1.16124884730726E-04      14    5.70545181398358E-01    8.19159764568889E+00
  1.179974968711E+00    1.05697465123363E-04      14    5.74446933783715E-01    8.24634588460247E+00
  1.187234042553E+00    9.62166734238414E-05      14    5.75718408350577E-01    8.30103469048366E+00
  1.194493116395E+00    8.75950329337712E-05      14    5.77769409194120E-01    8.35567084495059E+00
  1.201752190238E+00    7.97553374619239E-05      15    5.69807342334476E-01    8.41024636893513E+00
  1.209011264080E+00    7.26269219184256E-05      15    5.75137673446045E-01    8.46477006575410E+00
  1.216270337922E+00    6.61466801833381E-05      15    5.73816768019496E-01    8.51923497140317E+00
  1.223529411765E+00    6.02552636680810E-05      15    5.79994198397353E-01    8.57364888081338E+00
  1.230788485607E+00    5.48969110745459E-05      15    5.71497716182843E-01    8.62800553558111E+00
  1.238047559449E+00    5.00226691983460E-05      15    5.76455170668266E-01    8.68230946721697E+00
