# sin2theta_W   A(s)   chi2   dchi2
   2.700000E-02     9.925460E-02     1.848227E+01     1.113325E+01
   2.716667E-02     9.959488E-02     1.847390E+01     1.112488E+01
   2.733333E-02     9.993574E-02     1.846551E+01     1.111650E+01
   2.750000E-02     1.002772E-01     1.845712E+01     1.110810E+01
   2.766667E-02     1.006192E-01     1.844872E+01     1.109970E+01
   2.783333E-02     1.009618E-01     1.844030E+01     1.109128E+01
   2.800000E-02     1.013050E-01     1.843187E+01     1.108285E+01
   2.816667E-02     1.016488E-01     1.842343E+01     1.107441E+01
   2.833333E-02     1.019931E-01     1.841498E+01     1.106596E+01
   2.850000E-02     1.023381E-01     1.840651E+01     1.105749E+01
   2.866667E-02     1.026836E-01     1.839803E+01     1.104902E+01
   2.883333E-02     1.030297E-01     1.838955E+01     1.104053E+01
   2.900000E-02     1.033764E-01     1.838105E+01     1.103203E+01
   2.916667E-02     1.037236E-01     1.837253E+01     1.102352E+01
   2.933333E-02     1.040715E-01     1.836401E+01     1.101500E+01
   2.950000E-02     1.044199E-01     1.835548E+01     1.100646E+01
   2.966667E-02     1.047689E-01     1.834693E+01     1.099791E+01
   2.983333E-02     1.051185E-01     1.833837E+01     1.098936E+01
   3.000000E-02     1.054687E-01     1.832980E+01     1.098079E+01
   3.016667E-02     1.058194E-01     1.832122E+01     1.097220E+01
   3.033333E-02     1.061708E-01     1.831263E+01     1.096361E+01
   3.050000E-02     1.065227E-01     1.830402E+01     1.095501E+01
   3.066667E-02     1.068752E-01     1.829540E+01     1.094639E+01
   3.083333E-02     1.072283E-01     1.828678E+01     1.093776E+01
   3.100000E-02     1.075820E-01     1.827814E+01     1.092912E+01
   3.116667E-02     1.079362E-01     1.826949E+01     1.092047E+01
   3.133333E-02     1.082910E-01     1.826082E+01     1.091181E+01
   3.150000E-02     1.086465E-01     1.825215E+01     1.090313E+01
   3.166667E-02     1.090025E-01     1.824346E+01     1.089445E+01
   3.183333E-02     1.093590E-01     1.823477E+01     1.088575E+01
   3.200000E-02     1.097162E-01     1.822606E+01     1.087704E+01
   3.216667E-02     1.100740E-01     1.821734E+01     1.086832E+01
   3.233333E-02     1.104323E-01     1.820860E+01     1.085959E+01
   3.250000E-02     1.107912E-01     1.819986E+01     1.085085E+01
   3.266667E-02     1.111507E-01     1.819111E+01     1.084209E+01
   3.283333E-02     1.115108E-01     1.818234E+01     1.083333E+01
   3.300000E-02     1.118714E-01     1.817356E+01     1.082455E+01
   3.316667E-02     1.122327E-01     1.816478E+01     1.081576E+01
   3.333333E-02     1.125945E-01     1.815598E+01     1.080696E+01
   3.350000E-02     1.129569E-01     1.814716E+01     1.079815E+01
   3.366667E-02     1.133199E-01     1.813834E+01     1.078933E+01
   3.383333E-02     1.136834E-01     1.812951E+01     1.078049E+01
   3.400000E-02     1.140476E-01     1.812066E+01     1.077165E+01
   3.416667E-02     1.144123E-01     1.811181E+01     1.076279E+01
   3.433333E-02     1.147776E-01     1.810294E+01     1.075392E+01
   3.450000E-02     1.151435E-01     1.809406E+01     1.074504E+01
   3.466667E-02     1.155100E-01     1.808517E+01     1.073615E+01
   3.483333E-02     1.158771E-01     1.807627E+01     1.072725E+01
   3.500000E-02     1.162447E-01     1.806735E+01     1.071834E+01
   3.516667E-02     1.166129E-01     1.805843E+01     1.070941E+01
   3.533333E-02     1.169818E-01     1.804950E+01     1.070048E+01
   3.550000E-02     1.173511E-01     1.804055E+01     1.069153E+01
   3.566667E-02     1.177211E-01     1.803159E+01     1.068258E+01
   3.583333E-02     1.180917E-01     1.802262E+01     1.067361E+01
   3.600000E-02     1.184628E-01     1.801364E+01     1.066463E+01
   3.616667E-02     1.188345E-01     1.800465E+01     1.065564E+01
   3.633333E-02     1.192068E-01     1.799565E+01     1.064664E+01
   3.650000E-02     1.195797E-01     1.798664E+01     1.063762E+01
   3.666667E-02     1.199532E-01     1.797762E+01     1.062860E+01
   3.683333E-02     1.203272E-01     1.796858E+01     1.061957E+01
   3.700000E-02     1.207019E-01     1.795954E+01     1.061052E+01
   3.716667E-02     1.210771E-01     1.795048E+01     1.060146E+01
   3.733333E-02     1.214529E-01     1.794141E+01     1.059240E+01
   3.750000E-02     1.218293E-01     1.793233E+01     1.058332E+01
   3.766667E-02     1.222062E-01     1.792324E+01     1.057423E+01
   3.783333E-02     1.225838E-01     1.791414E+01     1.056513E+01
   3.800000E-02     1.229619E-01     1.790503E+01     1.055602E+01
   3.816667E-02     1.233406E-01     1.789591E+01     1.054689E+01
   3.833333E-02     1.237199E-01     1.788678E+01     1.053776E+01
   3.850000E-02     1.240998E-01     1.787763E+01     1.052862E+01
   3.866667E-02     1.244802E-01     1.786848E+01     1.051946E+01
   3.883333E-02     1.248613E-01     1.785931E+01     1.051030E+01
   3.900000E-02     1.252429E-01     1.785014E+01     1.050112E+01
   3.916667E-02     1.256251E-01     1.784095E+01     1.049193E+01
   3.933333E-02     1.260079E-01     1.783175E+01     1.048274E+01
   3.950000E-02     1.263912E-01     1.782254E+01     1.047353E+01
   3.966667E-02     1.267752E-01     1.781332E+01     1.046431E+01
   3.983333E-02     1.271597E-01     1.780409E+01     1.045508E+01
   4.000000E-02     1.275448E-01     1.779485E+01     1.044584E+01
   4.016667E-02     1.279305E-01     1.778560E+01     1.043659E+01
   4.033333E-02     1.283168E-01     1.777634E+01     1.042732E+01
   4.050000E-02     1.287037E-01     1.776707E+01     1.041805E+01
   4.066667E-02     1.290911E-01     1.775778E+01     1.040877E+01
   4.083333E-02     1.294791E-01     1.774849E+01     1.039948E+01
   4.100000E-02     1.298677E-01     1.773919E+01     1.039017E+01
   4.116667E-02     1.302569E-01     1.772987E+01     1.038086E+01
   4.133333E-02     1.306467E-01     1.772055E+01     1.037153E+01
   4.150000E-02     1.310371E-01     1.771121E+01     1.036219E+01
   4.166667E-02     1.314280E-01     1.770186E+01     1.035285E+01
   4.183333E-02     1.318195E-01     1.769251E+01     1.034349E+01
   4.200000E-02     1.322116E-01     1.768314E+01     1.033412E+01
   4.216667E-02     1.326043E-01     1.767376E+01     1.032475E+01
   4.233333E-02     1.329976E-01     1.766437E+01     1.031536E+01
   4.250000E-02     1.333914E-01     1.765497E+01     1.030596E+01
   4.266667E-02     1.337858E-01     1.764557E+01     1.029655E+01
   4.283333E-02     1.341808E-01     1.763615E+01     1.028713E+01
   4.300000E-02     1.345764E-01     1.762672E+01     1.027770E+01
   4.316667E-02     1.349726E-01     1.761728E+01     1.026826E+01
   4.333333E-02     1.353694E-01     1.760783E+01     1.025881E+01
   4.350000E-02     1.357667E-01     1.759836E+01     1.024935E+01
   4.366667E-02     1.361646E-01     1.758889E+01     1.023988E+01
   4.383333E-02     1.365631E-01     1.757941E+01     1.023040E+01
   4.400000E-02     1.369622E-01     1.756992E+01     1.022090E+01
   4.416667E-02     1.373619E-01     1.756042E+01     1.021140E+01
   4.433333E-02     1.377622E-01     1.755091E+01     1.020189E+01
   4.450000E-02     1.381630E-01     1.754138E+01     1.019237E+01
   4.466667E-02     1.385644E-01     1.753185E+01     1.018284E+01
   4.483333E-02     1.389664E-01     1.752231E+01     1.017329E+01
   4.500000E-02     1.393690E-01     1.751276E+01     1.016374E+01
   4.516667E-02     1.397722E-01     1.750319E+01     1.015418E+01
   4.533333E-02     1.401759E-01     1.749362E+01     1.014460E+01
   4.550000E-02     1.405802E-01     1.748404E+01     1.013502E+01
   4.566667E-02     1.409851E-01     1.747444E+01     1.012543E+01
   4.583333E-02     1.413906E-01     1.746484E+01     1.011583E+01
   4.600000E-02     1.417967E-01     1.745523E+01     1.010621E+01
   4.616667E-02     1.422034E-01     1.744560E+01     1.009659E+01
   4.633333E-02     1.426106E-01     1.743597E+01     1.008696E+01
   4.650000E-02     1.430184E-01     1.742633E+01     1.007731E+01
   4.666667E-02     1.434268E-01     1.741668E+01     1.006766E+01
   4.683333E-02     1.438358E-01     1.740701E+01     1.005800E+01
   4.700000E-02     1.442454E-01     1.739734E+01     1.004832E+01
   4.716667E-02     1.446556E-01     1.738766E+01     1.003864E+01
   4.733333E-02     1.450663E-01     1.737796E+01     1.002895E+01
   4.750000E-02     1.454776E-01     1.736826E+01     1.001925E+01
   4.766667E-02     1.458895E-01     1.735855E+01     1.000953E+01
   4.783333E-02     1.463020E-01     1.734883E+01     9.999812E+00
   4.800000E-02     1.467150E-01     1.733910E+01     9.990080E+00
   4.816667E-02     1.471287E-01     1.732935E+01     9.980338E+00
   4.833333E-02     1.475429E-01     1.731960E+01     9.970587E+00
   4.850000E-02     1.479577E-01     1.730984E+01     9.960825E+00
   4.866667E-02     1.483731E-01     1.730007E+01     9.951055E+00
   4.883333E-02     1.487891E-01     1.729029E+01     9.941274E+00
   4.900000E-02     1.492057E-01     1.728050E+01     9.931484E+00
   4.916667E-02     1.496228E-01     1.727070E+01     9.921684E+00
   4.933333E-02     1.500405E-01     1.726089E+01     9.911874E+00
   4.950000E-02     1.504588E-01     1.725107E+01     9.902055E+00
   4.966667E-02     1.508777E-01     1.724124E+01     9.892226E+00
   4.983333E-02     1.512972E-01     1.723140E+01     9.882388E+00
   5.000000E-02     1.517172E-01     1.722156E+01     9.872540E+00
   5.016667E-02     1.521379E-01     1.721170E+01     9.862683E+00
   5.033333E-02     1.525591E-01     1.720183E+01     9.852816E+00
   5.050000E-02     1.529809E-01     1.719196E+01     9.842940E+00
   5.066667E-02     1.534033E-01     1.718207E+01     9.833054E+00
   5.083333E-02     1.538262E-01     1.717217E+01     9.823159E+00
   5.100000E-02     1.542498E-01     1.716227E+01     9.813254E+00
   5.116667E-02     1.546739E-01     1.715236E+01     9.803340E+00
   5.133333E-02     1.550986E-01     1.714243E+01     9.793416E+00
   5.150000E-02     1.555239E-01     1.713250E+01     9.783484E+00
   5.166667E-02     1.559498E-01     1.712256E+01     9.773541E+00
   5.183333E-02     1.563762E-01     1.711261E+01     9.763590E+00
   5.200000E-02     1.568033E-01     1.710264E+01     9.753629E+00
   5.216667E-02     1.572309E-01     1.709267E+01     9.743659E+00
   5.233333E-02     1.576591E-01     1.708270E+01     9.733680E+00
   5.250000E-02     1.580879E-01     1.707271E+01     9.723691E+00
   5.266667E-02     1.585172E-01     1.706271E+01     9.713693E+00
   5.283333E-02     1.589472E-01     1.705270E+01     9.703686E+00
   5.300000E-02     1.593777E-01     1.704269E+01     9.693670E+00
   5.316667E-02     1.598088E-01     1.703266E+01     9.683645E+00
   5.333333E-02     1.602405E-01     1.702263E+01     9.673610E+00
   5.350000E-02     1.606728E-01     1.701258E+01     9.663567E+00
