# EEE =   0.990000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  1.042553191489E+00    3.53132263861326E-02      10    8.92327091112695E-01    8.73670772968565E+00
  1.046683354193E+00    3.49065106872357E-02      10    8.92227283392518E-01    8.76937715451703E+00
  1.050813516896E+00    3.45048232584614E-02      10    8.92127451748897E-01    8.80199681468534E+00
  1.054943679599E+00    3.41085104839626E-02      10    8.92027644028720E-01    8.83456785785763E+00
  1.059073842303E+00    3.37170655231510E-02      10    8.92003319654013E-01    8.86709071716402E+00
  1.063204005006E+00    3.33304167743779E-02      10    8.92266901890350E-01    8.89956644799699E+00
  1.067334167710E+00    3.29486260704825E-02      10    8.92530448118248E-01    8.93199398462778E+00
  1.071464330413E+00    3.25717988972080E-02      10    8.92794051797818E-01    8.96437498809424E+00
  1.075594493116E+00    3.21995550143630E-02      10    8.93057604142054E-01    8.99670793712887E+00
  1.079724655820E+00    3.18318276629333E-02      10    8.93321150369952E-01    9.02899519866068E+00
  1.083854818523E+00    3.14688790126266E-02      10    8.93584760165860E-01    9.06123593667423E+00
  1.087984981227E+00    3.11104272770016E-02      10    8.94020644358079E-01    9.09343114804538E+00
  1.092115143930E+00    3.07562927823144E-02      10    8.94516508434791E-01    9.12558043596119E+00
  1.096245306633E+00    3.04065554578219E-02      10    8.95013488016035E-01    9.15768385327940E+00
  1.100375469337E+00    3.00613112821159E-02      10    8.95510349694637E-01    9.18974310350221E+00
  1.104505632040E+00    2.97201946178885E-02      10    8.96006331673991E-01    9.22175728116015E+00
  1.108635794743E+00    2.93831555485563E-02      10    8.96503193352593E-01    9.25372711715528E+00
  1.112765957447E+00    2.90505611736821E-02      10    8.96956264481319E-01    9.28565283498145E+00
  1.116896120150E+00    2.87219136819524E-02      10    8.97292292069632E-01    9.31753441731309E+00
  1.121026282854E+00    2.83971570209149E-02      10    8.97628238318233E-01    9.34937229518450E+00
  1.125156445557E+00    2.80766040790389E-02      10    8.97964233940682E-01    9.38116663242898E+00
  1.129286608260E+00    2.77599022461504E-02      10    8.98300212155146E-01    9.41291773153270E+00
  1.133416770964E+00    2.74469221425398E-02      11    8.98636411835711E-01    9.44462687470242E+00
  1.137546933667E+00    2.71379368181524E-02      11    8.98966933342002E-01    9.47629220240072E+00
  1.141677096370E+00    2.68326811054949E-02      11    8.98814873177939E-01    9.50791684545925E+00
  1.145807259074E+00    2.65309861189664E-02      11    8.98537111832374E-01    9.53949881689578E+00
  1.149937421777E+00    2.62331227567823E-02      11    8.98258836120338E-01    9.57103788032114E+00
  1.154067584481E+00    2.59388364840041E-02      11    8.97980721613740E-01    9.60253664023813E+00
  1.158197747184E+00    2.56479576402105E-02      11    8.97702993011599E-01    9.63399380504767E+00
  1.162327909887E+00    2.53607887976376E-02      11    8.97425314368525E-01    9.66541058482249E+00
  1.166458072591E+00    2.50770170761296E-02      11    8.97333330221389E-01    9.69678525732719E+00
  1.170588235294E+00    2.47965068184203E-02      11    8.97611058823529E-01    9.72811954463668E+00
  1.174718397997E+00    2.45196225038409E-02      11    8.97887720440024E-01    9.75941356373802E+00
  1.178848560701E+00    2.42459312183838E-02      11    8.98165402837678E-01    9.79066851197096E+00
  1.182978723404E+00    2.39754255445821E-02      11    8.98442244440889E-01    9.82188296308453E+00
  1.187108886108E+00    2.37083693492410E-02      11    8.98719772275153E-01    9.85305741976221E+00
  1.191239048811E+00    2.34443441857872E-02      11    8.98996486172011E-01    9.88419248068769E+00
  1.195369211514E+00    2.31834874712654E-02      11    8.99041414795665E-01    9.91528794912336E+00
  1.199499374218E+00    2.29258300903258E-02      11    8.99050280329907E-01    9.94634526965500E+00
