# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
1.902380E+01 4.995969E-02
1.908382E+01 5.004735E-02
1.914383E+01 5.013410E-02
1.920384E+01 5.021990E-02
1.926385E+01 5.030474E-02
1.932386E+01 5.038859E-02
1.938388E+01 5.047142E-02
1.944389E+01 5.055323E-02
1.950390E+01 5.063397E-02
1.956391E+01 5.071363E-02
1.962392E+01 5.079219E-02
1.968394E+01 5.086963E-02
1.974395E+01 5.094591E-02
1.980396E+01 5.102101E-02
1.986397E+01 5.109492E-02
1.992398E+01 5.116761E-02
1.998400E+01 5.123905E-02
2.004401E+01 5.130923E-02
2.010402E+01 5.137811E-02
2.016403E+01 5.144568E-02
2.022404E+01 5.151191E-02
2.028406E+01 5.157678E-02
2.034407E+01 5.164026E-02
2.040408E+01 5.170234E-02
2.046409E+01 5.176298E-02
2.052410E+01 5.182217E-02
2.058412E+01 5.187987E-02
2.064413E+01 5.193608E-02
2.070414E+01 5.199076E-02
2.076415E+01 5.204389E-02
2.082416E+01 5.209546E-02
2.088418E+01 5.214542E-02
2.094419E+01 5.219377E-02
2.100420E+01 5.224048E-02
2.106421E+01 5.228553E-02
2.112422E+01 5.232889E-02
2.118424E+01 5.237054E-02
2.124425E+01 5.241046E-02
2.130426E+01 5.244863E-02
2.136427E+01 5.248503E-02
2.142428E+01 5.251962E-02
2.148430E+01 5.255240E-02
2.154431E+01 5.258334E-02
2.160432E+01 5.261241E-02
2.166433E+01 5.263960E-02
2.172434E+01 5.266488E-02
2.178436E+01 5.268824E-02
2.184437E+01 5.270965E-02
2.190438E+01 5.272909E-02
2.196439E+01 5.274654E-02
2.202440E+01 5.276198E-02
2.208442E+01 5.277539E-02
2.214443E+01 5.278675E-02
2.220444E+01 5.279604E-02
2.226445E+01 5.280324E-02
2.232446E+01 5.280833E-02
2.238448E+01 5.281130E-02
2.244449E+01 5.281208E-02
2.250450E+01 5.280727E-02
2.256451E+01 5.279479E-02
2.262452E+01 5.277478E-02
2.268454E+01 5.274734E-02
2.274455E+01 5.271259E-02
2.280456E+01 5.267067E-02
2.286457E+01 5.262170E-02
2.292458E+01 5.256581E-02
2.298460E+01 5.250313E-02
2.304461E+01 5.243380E-02
2.310462E+01 5.235796E-02
2.316463E+01 5.227574E-02
2.322464E+01 5.218729E-02
2.328466E+01 5.209275E-02
2.334467E+01 5.199225E-02
2.340468E+01 5.188595E-02
2.346469E+01 5.177399E-02
2.352470E+01 5.165652E-02
2.358472E+01 5.153368E-02
2.364473E+01 5.140562E-02
2.370474E+01 5.127250E-02
2.376475E+01 5.113445E-02
2.382476E+01 5.099163E-02
2.388478E+01 5.084419E-02
2.394479E+01 5.069227E-02
2.400480E+01 5.053603E-02
2.406481E+01 5.037562E-02
2.412482E+01 5.021118E-02
2.418484E+01 5.004286E-02
2.424485E+01 4.987081E-02
2.430486E+01 4.969518E-02
2.436487E+01 4.951611E-02
2.442488E+01 4.933376E-02
2.448490E+01 4.914825E-02
2.454491E+01 4.895974E-02
2.460492E+01 4.876838E-02
2.466493E+01 4.857429E-02
2.472494E+01 4.837763E-02
2.478496E+01 4.817853E-02
2.484497E+01 4.797713E-02
2.490498E+01 4.777356E-02
2.496499E+01 4.756797E-02
2.502501E+01 4.736048E-02
2.508502E+01 4.715122E-02
2.514503E+01 4.694033E-02
2.520504E+01 4.672794E-02
2.526505E+01 4.651417E-02
2.532507E+01 4.629915E-02
2.538508E+01 4.608300E-02
2.544509E+01 4.586584E-02
2.550510E+01 4.564780E-02
2.556511E+01 4.542899E-02
2.562513E+01 4.520952E-02
2.568514E+01 4.498952E-02
2.574515E+01 4.476909E-02
2.580516E+01 4.454835E-02
2.586517E+01 4.432740E-02
2.592519E+01 4.410635E-02
2.598520E+01 4.388531E-02
2.604521E+01 4.366438E-02
2.610522E+01 4.344366E-02
2.616523E+01 4.322325E-02
2.622525E+01 4.300324E-02
2.628526E+01 4.278374E-02
2.634527E+01 4.256483E-02
2.640528E+01 4.234660E-02
2.646529E+01 4.212916E-02
2.652531E+01 4.191258E-02
2.658532E+01 4.169695E-02
2.664533E+01 4.148235E-02
2.670534E+01 4.126888E-02
2.676535E+01 4.105660E-02
