# NE_LO   sin2theta_W   A(s)   dchi2
    3    8.333333E-03    1.107205E-01    5.652536E+01
    4    8.333333E-03    1.107205E-01    9.607699E+00
    1    8.500000E-03    1.110422E-01    1.674097E+03
    2    8.500000E-03    1.110422E-01    3.247154E+02
    3    8.500000E-03    1.110422E-01    5.648447E+01
    4    8.500000E-03    1.110422E-01    9.600750E+00
    1    8.666667E-03    1.113643E-01    1.672884E+03
    2    8.666667E-03    1.113643E-01    3.244801E+02
    3    8.666667E-03    1.113643E-01    5.644354E+01
    4    8.666667E-03    1.113643E-01    9.593792E+00
    1    8.833333E-03    1.116869E-01    1.671670E+03
    2    8.833333E-03    1.116869E-01    3.242446E+02
    3    8.833333E-03    1.116869E-01    5.640257E+01
    4    8.833333E-03    1.116869E-01    9.586828E+00
    1    9.000000E-03    1.120100E-01    1.670454E+03
    2    9.000000E-03    1.120100E-01    3.240087E+02
    3    9.000000E-03    1.120100E-01    5.636155E+01
    4    9.000000E-03    1.120100E-01    9.579856E+00
    1    9.166667E-03    1.123336E-01    1.669237E+03
    2    9.166667E-03    1.123336E-01    3.237727E+02
    3    9.166667E-03    1.123336E-01    5.632048E+01
    4    9.166667E-03    1.123336E-01    9.572876E+00
    1    9.333333E-03    1.126576E-01    1.668018E+03
    2    9.333333E-03    1.126576E-01    3.235364E+02
    3    9.333333E-03    1.126576E-01    5.627938E+01
    4    9.333333E-03    1.126576E-01    9.565889E+00
    1    9.500000E-03    1.129821E-01    1.666799E+03
    2    9.500000E-03    1.129821E-01    3.232998E+02
    3    9.500000E-03    1.129821E-01    5.623822E+01
    4    9.500000E-03    1.129821E-01    9.558894E+00
    1    9.666667E-03    1.133070E-01    1.665578E+03
    2    9.666667E-03    1.133070E-01    3.230630E+02
    3    9.666667E-03    1.133070E-01    5.619703E+01
    4    9.666667E-03    1.133070E-01    9.551892E+00
    1    9.833333E-03    1.136324E-01    1.664355E+03
    2    9.833333E-03    1.136324E-01    3.228259E+02
