# sin2theta_W    chi2
  0.081703       15.3503
  0.081867       15.3395
  0.082030       15.3287
  0.082193       15.3179
  0.082357       15.3071
  0.082520       15.2963
  0.082683       15.2855
  0.082847       15.2747
  0.083010       15.2638
  0.083173       15.2530
  0.083337       15.2422
  0.083500       15.2313
  0.083663       15.2205
  0.083827       15.2096
  0.083990       15.1988
  0.084153       15.1879
  0.084317       15.1770
  0.084480       15.1662
  0.084643       15.1553
  0.084807       15.1444
  0.084970       15.1335
  0.085133       15.1227
  0.085297       15.1118
  0.085460       15.1009
  0.085623       15.0900
  0.085787       15.0791
  0.085950       15.0682
  0.086113       15.0573
  0.086277       15.0463
  0.086440       15.0354
  0.086603       15.0245
  0.086767       15.0136
  0.086930       15.0026
  0.087093       14.9917
  0.087257       14.9808
  0.087420       14.9698
  0.087583       14.9589
  0.087747       14.9479
  0.087910       14.9370
  0.088073       14.9260
  0.088237       14.9150
  0.088400       14.9041
  0.088563       14.8931
  0.088727       14.8821
  0.088890       14.8712
  0.089053       14.8602
  0.089217       14.8492
  0.089380       14.8382
  0.089543       14.8272
  0.089707       14.8162
  0.089870       14.8052
  0.090033       14.7942
  0.090197       14.7832
  0.090360       14.7722
  0.090523       14.7612
  0.090687       14.7502
  0.090850       14.7391
  0.091013       14.7281
  0.091177       14.7171
  0.091340       14.7061
  0.091503       14.6950
  0.091667       14.6840
  0.091830       14.6730
  0.091993       14.6619
  0.092157       14.6509
  0.092320       14.6398
  0.092483       14.6288
  0.092647       14.6177
  0.092810       14.6067
  0.092973       14.5956
  0.093137       14.5845
  0.093300       14.5735
  0.093463       14.5624
  0.093627       14.5513
  0.093790       14.5403
  0.093953       14.5292
  0.094117       14.5181
  0.094280       14.5070
  0.094443       14.4959
  0.094607       14.4848
  0.094770       14.4738
  0.094933       14.4627
  0.095097       14.4516
  0.095260       14.4405
  0.095423       14.4294
  0.095587       14.4183
  0.095750       14.4072
  0.095913       14.3960
  0.096077       14.3849
  0.096240       14.3738
  0.096403       14.3627
  0.096567       14.3516
  0.096730       14.3405
  0.096893       14.3293
  0.097057       14.3182
  0.097220       14.3071
