# sin2theta_W   A(s)   chi2   dchi2
   2.950000E-02     1.553073E-01     1.751064E+01     3.992023E-04
   2.966667E-02     1.556882E-01     1.751065E+01     4.017376E-04
   2.983333E-02     1.560696E-01     1.751065E+01     4.042761E-04
   3.000000E-02     1.564515E-01     1.751065E+01     4.068177E-04
   3.016667E-02     1.568338E-01     1.751065E+01     4.093625E-04
   3.033333E-02     1.572166E-01     1.751066E+01     4.119105E-04
   3.050000E-02     1.575999E-01     1.751066E+01     4.144616E-04
   3.066667E-02     1.579836E-01     1.751066E+01     4.170159E-04
   3.083333E-02     1.583678E-01     1.751066E+01     4.195733E-04
   3.100000E-02     1.587525E-01     1.751067E+01     4.221339E-04
   3.116667E-02     1.591377E-01     1.751067E+01     4.246976E-04
   3.133333E-02     1.595233E-01     1.751067E+01     4.272645E-04
   3.150000E-02     1.599093E-01     1.751067E+01     4.298346E-04
   3.166667E-02     1.602959E-01     1.751068E+01     4.324078E-04
   3.183333E-02     1.606829E-01     1.751068E+01     4.349842E-04
   3.200000E-02     1.610704E-01     1.751068E+01     4.375637E-04
   3.216667E-02     1.614583E-01     1.751069E+01     4.401464E-04
   3.233333E-02     1.618467E-01     1.751069E+01     4.427323E-04
   3.250000E-02     1.622356E-01     1.751069E+01     4.453213E-04
   3.266667E-02     1.626249E-01     1.751069E+01     4.479134E-04
   3.283333E-02     1.630147E-01     1.751070E+01     4.505088E-04
   3.300000E-02     1.634050E-01     1.751070E+01     4.531073E-04
   3.316667E-02     1.637957E-01     1.751070E+01     4.557089E-04
   3.333333E-02     1.641869E-01     1.751070E+01     4.583137E-04
   3.350000E-02     1.645786E-01     1.751071E+01     4.609217E-04
   3.366667E-02     1.649707E-01     1.751071E+01     4.635328E-04
   3.383333E-02     1.653634E-01     1.751071E+01     4.661471E-04
   3.400000E-02     1.657564E-01     1.751071E+01     4.687645E-04
   3.416667E-02     1.661500E-01     1.751072E+01     4.713852E-04
   3.433333E-02     1.665440E-01     1.751072E+01     4.740089E-04
   3.450000E-02     1.669384E-01     1.751072E+01     4.766359E-04
   3.466667E-02     1.673334E-01     1.751072E+01     4.792660E-04
   3.483333E-02     1.677288E-01     1.751073E+01     4.818992E-04
   3.500000E-02     1.681247E-01     1.751073E+01     4.845356E-04
   3.516667E-02     1.685210E-01     1.751073E+01     4.871752E-04
