# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
0.919980   6.789533   0.422095
0.922931   6.792961   0.419714
0.925881   6.796353   0.421809
0.928832   6.799710   0.424494
0.931783   6.803032   0.418990
0.934734   6.806320   0.411451
0.937684   6.809575   0.424920
0.940635   6.812795   0.421400
0.943586   6.815983   0.416376
0.946537   6.819138   0.418832
0.949487   6.822260   0.429194
0.952438   6.825350   0.422840
0.955389   6.828408   0.423979
0.958340   6.831435   0.420293
0.961290   6.834430   0.416180
0.964241   6.837395   0.424201
0.967192   6.840330   0.421880
0.970143   6.843234   0.421903
0.973093   6.846108   0.421434
0.976044   6.848953   0.415506
0.978995   6.851769   0.415359
0.981945   6.854555   0.429709
0.984896   6.857314   0.415394
0.987847   6.860043   0.427657
0.990798   6.862745   0.421783
0.993748   6.865419   0.414907
0.996699   6.868066   0.425019
0.999650   6.870685   0.419489
1.002601   6.873277   0.423671
1.005551   6.875843   0.428383
1.008502   6.878383   0.421503
1.011453   6.880896   0.417537
1.014404   6.883384   0.425829
1.017354   6.885846   0.422126
1.020305   6.888283   0.423026
1.023256   6.890695   0.420872
1.026207   6.893082   0.427486
1.029157   6.895444   0.427042
1.032108   6.897782   0.416097
1.035059   6.900096   0.431389
1.038010   6.902387   0.419482
1.040960   6.904653   0.422002
1.043911   6.906897   0.424490
1.046862   6.909117   0.418364
1.049812   6.911315   0.420375
1.052763   6.913490   0.421833
1.055714   6.915642   0.425039
1.058665   6.917772   0.417405
1.061615   6.919881   0.432475
1.064566   6.921967   0.429954
1.067517   6.924032   0.418486
1.070468   6.926076   0.421251
1.073418   6.928098   0.429099
1.076369   6.930100   0.423675
1.079320   6.932081   0.426584
1.082271   6.934041   0.433878
1.085221   6.935982   0.419979
1.088172   6.937902   0.422615
1.091123   6.939802   0.427371
1.094074   6.941682   0.426446
1.097024   6.943543   0.430759
1.099975   6.945384   0.417060
1.102926   6.947207   0.429088
1.105876   6.949010   0.420025
1.108827   6.950795   0.423161
1.111778   6.952560   0.417160
1.114729   6.954308   0.423184
1.117679   6.956037   0.421879
1.120630   6.957748   0.428543
1.123581   6.959442   0.429892
1.126532   6.961117   0.427391
1.129482   6.962775   0.425262
1.132433   6.964416   0.437176
1.135384   6.966039   0.427272
1.138335   6.967645   0.424163
1.141285   6.969234   0.425220
1.144236   6.970807   0.436539
1.147187   6.972363   0.428421
1.150138   6.973902   0.425413
1.153088   6.975425   0.424622
1.156039   6.976932   0.425489
1.158990   6.978423   0.426855
1.161940   6.979898   0.426853
1.164891   6.981357   0.431651
1.167842   6.982801   0.432770
1.170793   6.984230   0.424211
1.173743   6.985643   0.427166
1.176694   6.987041   0.422560
1.179645   6.988424   0.421966
1.182596   6.989792   0.424803
1.185546   6.991145   0.425419
1.188497   6.992484   0.422474
1.191448   6.993809   0.422904
1.194399   6.995119   0.426892
1.197349   6.996414   0.426733
1.200300   6.997696   0.423834
1.203251   6.998964   0.423389
1.206202   7.000218   0.426773
1.209152   7.001458   0.422559
1.212103   7.002685   0.432550
1.215054   7.003898   0.430175
1.218005   7.005098   0.433934
1.220955   7.006285   0.426956
1.223906   7.007459   0.423939
1.226857   7.008620   0.427729
1.229807   7.009767   0.431714
1.232758   7.010903   0.426552
1.235709   7.012025   0.430505
1.238660   7.013135   0.429565
1.241610   7.014232   0.428657
1.244561   7.015318   0.422018
1.247512   7.016391   0.427724
1.250463   7.017452   0.427061
1.253413   7.018501   0.421240
1.256364   7.019538   0.424853
1.259315   7.020563   0.432107
1.262266   7.021577   0.428517
1.265216   7.022579   0.428244
1.268167   7.023570   0.429643
1.271118   7.024549   0.431880
1.274069   7.025517   0.423614
1.277019   7.026474   0.422799
1.279970   7.027419   0.429633
1.282921   7.028354   0.427837
1.285871   7.029278   0.426912
1.288822   7.030191   0.431614
1.291773   7.031094   0.421091
1.294724   7.031985   0.426986
1.297674   7.032867   0.421524
1.300625   7.033738   0.428905
1.303576   7.034598   0.431378
1.306527   7.035448   0.425663
1.309477   7.036288   0.433395
1.312428   7.037118   0.429144
1.315379   7.037938   0.429854
1.318330   7.038749   0.436452
1.321280   7.039549   0.428933
1.324231   7.040339   0.431670
1.327182   7.041120   0.437910
1.330133   7.041892   0.433498
1.333083   7.042653   0.423949
1.336034   7.043406   0.428273
1.338985   7.044149   0.431218
1.341935   7.044883   0.424856
1.344886   7.045607   0.424297
1.347837   7.046323   0.435924
1.350788   7.047029   0.428447
1.353738   7.047727   0.428106
1.356689   7.048415   0.424452
1.359640   7.049095   0.432077
1.362591   7.049766   0.432010
1.365541   7.050429   0.433537
1.368492   7.051082   0.431386
1.371443   7.051728   0.423970
1.374394   7.052365   0.430548
1.377344   7.052993   0.431261
1.380295   7.053613   0.429537
1.383246   7.054225   0.426526
1.386197   7.054829   0.426776
1.389147   7.055424   0.433060
1.392098   7.056012   0.428657
1.395049   7.056591   0.434000
1.397999   7.057163   0.429812
