# Tabla NEST para RED-100 con ARGON  (Ar, retroceso ELECTRONICO)
# Uso: fondo beta de 39Ar (39Ar -> 39K + e- + nubar).  El espectro
#      beta y la actividad viven en chi2_bkg_nest.f90.
# Modelo: nestpy.LArNEST get_er_yields, E_drift=218.0 V/cm, rho=1.4
# F_er = 0.3 constante (get_fano_er no disponible) - sistematico
# E_er < 0.2 keV: EXTRAPOLACION DE MODELO (sin datos ER de LAr a esa energia)
# E_er[keV]   Qy_er[e-/keV]   F_er
# N_puntos = 4000
4.111054e-02   53.031961   0.300000
4.118579e-02   53.031931   0.300000
4.126118e-02   53.031901   0.300000
4.133671e-02   53.031871   0.300000
4.141237e-02   53.031841   0.300000
4.148817e-02   53.031811   0.300000
4.156412e-02   53.031780   0.300000
4.164020e-02   53.031750   0.300000
4.171642e-02   53.031719   0.300000
4.179277e-02   53.031688   0.300000
4.186927e-02   53.031657   0.300000
4.194591e-02   53.031626   0.300000
4.202269e-02   53.031595   0.300000
4.209961e-02   53.031564   0.300000
4.217667e-02   53.031533   0.300000
4.225387e-02   53.031502   0.300000
4.233122e-02   53.031470   0.300000
4.240870e-02   53.031438   0.300000
4.248633e-02   53.031407   0.300000
4.256410e-02   53.031375   0.300000
4.264201e-02   53.031343   0.300000
4.272006e-02   53.031311   0.300000
4.279826e-02   53.031279   0.300000
4.287660e-02   53.031246   0.300000
4.295508e-02   53.031214   0.300000
4.303371e-02   53.031181   0.300000
4.311248e-02   53.031149   0.300000
4.319139e-02   53.031116   0.300000
4.327045e-02   53.031083   0.300000
4.334965e-02   53.031050   0.300000
4.342900e-02   53.031017   0.300000
4.350850e-02   53.030984   0.300000
4.358814e-02   53.030950   0.300000
4.366792e-02   53.030917   0.300000
4.374785e-02   53.030883   0.300000
4.382793e-02   53.030850   0.300000
4.390815e-02   53.030816   0.300000
4.398853e-02   53.030782   0.300000
4.406904e-02   53.030748   0.300000
4.414971e-02   53.030713   0.300000
4.423052e-02   53.030679   0.300000
4.431148e-02   53.030645   0.300000
4.439259e-02   53.030610   0.300000
4.447385e-02   53.030575   0.300000
4.455526e-02   53.030541   0.300000
4.463681e-02   53.030506   0.300000
4.471852e-02   53.030471   0.300000
4.480037e-02   53.030435   0.300000
4.488238e-02   53.030400   0.300000
4.496453e-02   53.030364   0.300000
4.504684e-02   53.030329   0.300000
4.512929e-02   53.030293   0.300000
4.521190e-02   53.030257   0.300000
4.529465e-02   53.030221   0.300000
4.537756e-02   53.030185   0.300000
4.546062e-02   53.030149   0.300000
4.554384e-02   53.030113   0.300000
4.562720e-02   53.030076   0.300000
4.571072e-02   53.030039   0.300000
4.579439e-02   53.030003   0.300000
4.587821e-02   53.029966   0.300000
4.596219e-02   53.029929   0.300000
4.604632e-02   53.029891   0.300000
