# A   chi2_sinNuisance   chi2_conNuisance
  6.060606E+00    3.297105E+02    2.975198E+01
  6.090609E+00    3.335709E+02    2.981280E+01
  6.120612E+00    3.374543E+02    2.987307E+01
  6.150615E+00    3.413607E+02    2.993281E+01
  6.180618E+00    3.452900E+02    2.999201E+01
  6.210621E+00    3.492424E+02    3.005069E+01
  6.240624E+00    3.532177E+02    3.010886E+01
  6.270627E+00    3.572160E+02    3.016651E+01
  6.300630E+00    3.612373E+02    3.022366E+01
  6.330633E+00    3.652815E+02    3.028031E+01
  6.360636E+00    3.693488E+02    3.033647E+01
  6.390639E+00    3.734390E+02    3.039214E+01
  6.420642E+00    3.775522E+02    3.044733E+01
  6.450645E+00    3.816883E+02    3.050204E+01
  6.480648E+00    3.858475E+02    3.055628E+01
  6.510651E+00    3.900296E+02    3.061006E+01
  6.540654E+00    3.942347E+02    3.066339E+01
  6.570657E+00    3.984628E+02    3.071626E+01
  6.600660E+00    4.027138E+02    3.076868E+01
  6.630663E+00    4.069878E+02    3.082066E+01
  6.660666E+00    4.112848E+02    3.087220E+01
  6.690669E+00    4.156048E+02    3.092331E+01
  6.720672E+00    4.199478E+02    3.097399E+01
  6.750675E+00    4.243137E+02    3.102426E+01
  6.780678E+00    4.287027E+02    3.107410E+01
  6.810681E+00    4.331146E+02    3.112353E+01
  6.840684E+00    4.375494E+02    3.117256E+01
  6.870687E+00    4.420073E+02    3.122118E+01
  6.900690E+00    4.464881E+02    3.126941E+01
  6.930693E+00    4.509919E+02    3.131724E+01
  6.960696E+00    4.555187E+02    3.136469E+01
  6.990699E+00    4.600685E+02    3.141175E+01
  7.020702E+00    4.646412E+02    3.145843E+01
  7.050705E+00    4.692370E+02    3.150473E+01
  7.080708E+00    4.738557E+02    3.155066E+01
  7.110711E+00    4.784973E+02    3.159623E+01
  7.140714E+00    4.831620E+02    3.164143E+01
  7.170717E+00    4.878496E+02    3.168628E+01
  7.200720E+00    4.925602E+02    3.173076E+01
  7.230723E+00    4.972938E+02    3.177490E+01
  7.260726E+00    5.020504E+02    3.181869E+01
  7.290729E+00    5.068299E+02    3.186214E+01
  7.320732E+00    5.116324E+02    3.190525E+01
  7.350735E+00    5.164579E+02    3.194802E+01
  7.380738E+00    5.213064E+02    3.199047E+01
  7.410741E+00    5.261779E+02    3.203258E+01
  7.440744E+00    5.310723E+02    3.207437E+01
  7.470747E+00    5.359897E+02    3.211584E+01
  7.500750E+00    5.409301E+02    3.215699E+01
  7.530753E+00    5.458935E+02    3.219782E+01
  7.560756E+00    5.508798E+02    3.223835E+01
  7.590759E+00    5.558892E+02    3.227857E+01
  7.620762E+00    5.609215E+02    3.231848E+01
  7.650765E+00    5.659767E+02    3.235810E+01
  7.680768E+00    5.710550E+02    3.239741E+01
  7.710771E+00    5.761562E+02    3.243643E+01
  7.740774E+00    5.812804E+02    3.247517E+01
  7.770777E+00    5.864276E+02    3.251361E+01
  7.800780E+00    5.915978E+02    3.255177E+01
  7.830783E+00    5.967909E+02    3.258964E+01
  7.860786E+00    6.020071E+02    3.262724E+01
  7.890789E+00    6.072462E+02    3.266456E+01
  7.920792E+00    6.125082E+02    3.270161E+01
  7.950795E+00    6.177933E+02    3.273839E+01
  7.980798E+00    6.231013E+02    3.277490E+01
  8.010801E+00    6.284323E+02    3.281115E+01
  8.040804E+00    6.337863E+02    3.284713E+01
  8.070807E+00    6.391633E+02    3.288285E+01
  8.100810E+00    6.445632E+02    3.291832E+01
  8.130813E+00    6.499862E+02    3.295354E+01
  8.160816E+00    6.554321E+02    3.298850E+01
  8.190819E+00    6.609010E+02    3.302321E+01
  8.220822E+00    6.663928E+02    3.305768E+01
  8.250825E+00    6.719076E+02    3.309191E+01
  8.280828E+00    6.774455E+02    3.312589E+01
  8.310831E+00    6.830063E+02    3.315963E+01
  8.340834E+00    6.885900E+02    3.319314E+01
  8.370837E+00    6.941968E+02    3.322642E+01
  8.400840E+00    6.998265E+02    3.325946E+01
  8.430843E+00    7.054792E+02    3.329227E+01
  8.460846E+00    7.111549E+02    3.332486E+01
