# A   chi2(A)
  1.275128E+01    1.762199E+01
  1.278128E+01    1.762232E+01
  1.281128E+01    1.762266E+01
  1.284128E+01    1.762299E+01
  1.287129E+01    1.762332E+01
  1.290129E+01    1.762365E+01
  1.293129E+01    1.762398E+01
  1.296130E+01    1.762432E+01
  1.299130E+01    1.762465E+01
  1.302130E+01    1.762498E+01
  1.305131E+01    1.762532E+01
  1.308131E+01    1.762565E+01
  1.311131E+01    1.762599E+01
  1.314131E+01    1.762632E+01
  1.317132E+01    1.762666E+01
  1.320132E+01    1.762699E+01
  1.323132E+01    1.762733E+01
  1.326133E+01    1.762766E+01
  1.329133E+01    1.762800E+01
  1.332133E+01    1.762834E+01
  1.335134E+01    1.762867E+01
  1.338134E+01    1.762901E+01
  1.341134E+01    1.762935E+01
  1.344134E+01    1.762968E+01
  1.347135E+01    1.763002E+01
  1.350135E+01    1.763036E+01
  1.353135E+01    1.763070E+01
  1.356136E+01    1.763104E+01
  1.359136E+01    1.763138E+01
  1.362136E+01    1.763172E+01
  1.365137E+01    1.763206E+01
  1.368137E+01    1.763240E+01
  1.371137E+01    1.763274E+01
  1.374137E+01    1.763308E+01
  1.377138E+01    1.763342E+01
  1.380138E+01    1.763376E+01
  1.383138E+01    1.763410E+01
  1.386139E+01    1.763445E+01
  1.389139E+01    1.763479E+01
  1.392139E+01    1.763513E+01
  1.395140E+01    1.763548E+01
  1.398140E+01    1.763582E+01
  1.401140E+01    1.763616E+01
  1.404140E+01    1.763651E+01
  1.407141E+01    1.763685E+01
  1.410141E+01    1.763720E+01
  1.413141E+01    1.763754E+01
  1.416142E+01    1.763789E+01
  1.419142E+01    1.763823E+01
  1.422142E+01    1.763858E+01
  1.425143E+01    1.763892E+01
  1.428143E+01    1.763927E+01
  1.431143E+01    1.763962E+01
  1.434143E+01    1.763996E+01
  1.437144E+01    1.764031E+01
  1.440144E+01    1.764066E+01
  1.443144E+01    1.764101E+01
  1.446145E+01    1.764136E+01
  1.449145E+01    1.764170E+01
  1.452145E+01    1.764205E+01
  1.455146E+01    1.764240E+01
  1.458146E+01    1.764275E+01
  1.461146E+01    1.764310E+01
  1.464146E+01    1.764345E+01
  1.467147E+01    1.764380E+01
  1.470147E+01    1.764415E+01
  1.473147E+01    1.764451E+01
  1.476148E+01    1.764486E+01
  1.479148E+01    1.764521E+01
  1.482148E+01    1.764556E+01
  1.485149E+01    1.764591E+01
  1.488149E+01    1.764627E+01
  1.491149E+01    1.764662E+01
  1.494149E+01    1.764697E+01
  1.497150E+01    1.764733E+01
  1.500150E+01    1.764768E+01
  1.503150E+01    1.764804E+01
  1.506151E+01    1.764839E+01
  1.509151E+01    1.764874E+01
  1.512151E+01    1.764910E+01
  1.515152E+01    1.764946E+01
  1.518152E+01    1.764981E+01
  1.521152E+01    1.765017E+01
  1.524152E+01    1.765052E+01
  1.527153E+01    1.765088E+01
  1.530153E+01    1.765124E+01
  1.533153E+01    1.765160E+01
  1.536154E+01    1.765195E+01
  1.539154E+01    1.765231E+01
  1.542154E+01    1.765267E+01
  1.545155E+01    1.765303E+01
  1.548155E+01    1.765339E+01
  1.551155E+01    1.765375E+01
  1.554155E+01    1.765411E+01
  1.557156E+01    1.765447E+01
  1.560156E+01    1.765483E+01
  1.563156E+01    1.765519E+01
  1.566157E+01    1.765555E+01
  1.569157E+01    1.765591E+01
  1.572157E+01    1.765627E+01
  1.575158E+01    1.765663E+01
  1.578158E+01    1.765700E+01
  1.581158E+01    1.765736E+01
  1.584158E+01    1.765772E+01
  1.587159E+01    1.765808E+01
  1.590159E+01    1.765845E+01
  1.593159E+01    1.765881E+01
  1.596160E+01    1.765917E+01
  1.599160E+01    1.765954E+01
  1.602160E+01    1.765990E+01
  1.605161E+01    1.766027E+01
  1.608161E+01    1.766063E+01
  1.611161E+01    1.766100E+01
  1.614161E+01    1.766137E+01
  1.617162E+01    1.766173E+01
  1.620162E+01    1.766210E+01
  1.623162E+01    1.766247E+01
  1.626163E+01    1.766283E+01
  1.629163E+01    1.766320E+01
  1.632163E+01    1.766357E+01
  1.635164E+01    1.766394E+01
  1.638164E+01    1.766430E+01
  1.641164E+01    1.766467E+01
  1.644164E+01    1.766504E+01
  1.647165E+01    1.766541E+01
  1.650165E+01    1.766578E+01
  1.653165E+01    1.766615E+01
  1.656166E+01    1.766652E+01
  1.659166E+01    1.766689E+01
  1.662166E+01    1.766726E+01
  1.665167E+01    1.766763E+01
  1.668167E+01    1.766801E+01
  1.671167E+01    1.766838E+01
  1.674167E+01    1.766875E+01
  1.677168E+01    1.766912E+01
  1.680168E+01    1.766949E+01
  1.683168E+01    1.766987E+01
  1.686169E+01    1.767024E+01
  1.689169E+01    1.767061E+01
  1.692169E+01    1.767099E+01
  1.695170E+01    1.767136E+01
  1.698170E+01    1.767174E+01
  1.701170E+01    1.767211E+01
  1.704170E+01    1.767249E+01
  1.707171E+01    1.767286E+01
  1.710171E+01    1.767324E+01
  1.713171E+01    1.767362E+01
  1.716172E+01    1.767399E+01
  1.719172E+01    1.767437E+01
  1.722172E+01    1.767475E+01
  1.725173E+01    1.767512E+01
  1.728173E+01    1.767550E+01
  1.731173E+01    1.767588E+01
  1.734173E+01    1.767626E+01
  1.737174E+01    1.767664E+01
  1.740174E+01    1.767702E+01
  1.743174E+01    1.767740E+01
  1.746175E+01    1.767777E+01
  1.749175E+01    1.767815E+01
  1.752175E+01    1.767854E+01
  1.755176E+01    1.767892E+01
  1.758176E+01    1.767930E+01
  1.761176E+01    1.767968E+01
  1.764176E+01    1.768006E+01
  1.767177E+01    1.768044E+01
  1.770177E+01    1.768082E+01
  1.773177E+01    1.768121E+01
  1.776178E+01    1.768159E+01
  1.779178E+01    1.768197E+01
  1.782178E+01    1.768236E+01
  1.785179E+01    1.768274E+01
  1.788179E+01    1.768312E+01
  1.791179E+01    1.768351E+01
  1.794179E+01    1.768389E+01
  1.797180E+01    1.768428E+01
  1.800180E+01    1.768466E+01
  1.803180E+01    1.768505E+01
  1.806181E+01    1.768543E+01
  1.809181E+01    1.768582E+01
  1.812181E+01    1.768621E+01
  1.815182E+01    1.768659E+01
  1.818182E+01    1.768698E+01
  1.821182E+01    1.768737E+01
  1.824182E+01    1.768776E+01
  1.827183E+01    1.768814E+01
  1.830183E+01    1.768853E+01
  1.833183E+01    1.768892E+01
  1.836184E+01    1.768931E+01
  1.839184E+01    1.768970E+01
  1.842184E+01    1.769009E+01
  1.845185E+01    1.769048E+01
  1.848185E+01    1.769087E+01
  1.851185E+01    1.769126E+01
  1.854185E+01    1.769165E+01
  1.857186E+01    1.769204E+01
  1.860186E+01    1.769243E+01
  1.863186E+01    1.769282E+01
  1.866187E+01    1.769322E+01
  1.869187E+01    1.769361E+01
  1.872187E+01    1.769400E+01
  1.875188E+01    1.769440E+01
  1.878188E+01    1.769479E+01
  1.881188E+01    1.769518E+01
  1.884188E+01    1.769558E+01
  1.887189E+01    1.769597E+01
  1.890189E+01    1.769637E+01
  1.893189E+01    1.769676E+01
  1.896190E+01    1.769716E+01
  1.899190E+01    1.769755E+01
  1.902190E+01    1.769795E+01
  1.905191E+01    1.769834E+01
  1.908191E+01    1.769874E+01
  1.911191E+01    1.769914E+01
  1.914191E+01    1.769953E+01
  1.917192E+01    1.769993E+01
  1.920192E+01    1.770033E+01
  1.923192E+01    1.770073E+01
  1.926193E+01    1.770113E+01
  1.929193E+01    1.770152E+01
  1.932193E+01    1.770192E+01
  1.935194E+01    1.770232E+01
  1.938194E+01    1.770272E+01
  1.941194E+01    1.770312E+01
  1.944194E+01    1.770352E+01
  1.947195E+01    1.770392E+01
  1.950195E+01    1.770432E+01
  1.953195E+01    1.770472E+01
  1.956196E+01    1.770513E+01
  1.959196E+01    1.770553E+01
  1.962196E+01    1.770593E+01
  1.965197E+01    1.770633E+01
  1.968197E+01    1.770674E+01
  1.971197E+01    1.770714E+01
  1.974197E+01    1.770754E+01
  1.977198E+01    1.770795E+01
  1.980198E+01    1.770835E+01
  1.983198E+01    1.770875E+01
  1.986199E+01    1.770916E+01
  1.989199E+01    1.770956E+01
  1.992199E+01    1.770997E+01
  1.995200E+01    1.771037E+01
  1.998200E+01    1.771078E+01
  2.001200E+01    1.771119E+01
  2.004200E+01    1.771159E+01
  2.007201E+01    1.771200E+01
  2.010201E+01    1.771241E+01
  2.013201E+01    1.771281E+01
  2.016202E+01    1.771322E+01
  2.019202E+01    1.771363E+01
  2.022202E+01    1.771404E+01
  2.025203E+01    1.771445E+01
  2.028203E+01    1.771486E+01
  2.031203E+01    1.771527E+01
  2.034203E+01    1.771568E+01
  2.037204E+01    1.771608E+01
  2.040204E+01    1.771650E+01
  2.043204E+01    1.771691E+01
  2.046205E+01    1.771732E+01
  2.049205E+01    1.771773E+01
  2.052205E+01    1.771814E+01
  2.055206E+01    1.771855E+01
  2.058206E+01    1.771896E+01
  2.061206E+01    1.771938E+01
  2.064206E+01    1.771979E+01
  2.067207E+01    1.772020E+01
  2.070207E+01    1.772061E+01
  2.073207E+01    1.772103E+01
  2.076208E+01    1.772144E+01
  2.079208E+01    1.772186E+01
  2.082208E+01    1.772227E+01
  2.085209E+01    1.772269E+01
  2.088209E+01    1.772310E+01
  2.091209E+01    1.772352E+01
  2.094209E+01    1.772393E+01
  2.097210E+01    1.772435E+01
  2.100210E+01    1.772477E+01
  2.103210E+01    1.772518E+01
  2.106211E+01    1.772560E+01
  2.109211E+01    1.772602E+01
  2.112211E+01    1.772643E+01
  2.115212E+01    1.772685E+01
  2.118212E+01    1.772727E+01
  2.121212E+01    1.772769E+01
  2.124212E+01    1.772811E+01
  2.127213E+01    1.772853E+01
  2.130213E+01    1.772895E+01
  2.133213E+01    1.772937E+01
  2.136214E+01    1.772979E+01
  2.139214E+01    1.773021E+01
  2.142214E+01    1.773063E+01
  2.145215E+01    1.773105E+01
  2.148215E+01    1.773147E+01
  2.151215E+01    1.773189E+01
  2.154215E+01    1.773232E+01
  2.157216E+01    1.773274E+01
  2.160216E+01    1.773316E+01
  2.163216E+01    1.773358E+01
  2.166217E+01    1.773401E+01
  2.169217E+01    1.773443E+01
  2.172217E+01    1.773486E+01
  2.175218E+01    1.773528E+01
  2.178218E+01    1.773570E+01
  2.181218E+01    1.773613E+01
  2.184218E+01    1.773655E+01
  2.187219E+01    1.773698E+01
  2.190219E+01    1.773741E+01
  2.193219E+01    1.773783E+01
  2.196220E+01    1.773826E+01
  2.199220E+01    1.773869E+01
  2.202220E+01    1.773911E+01
  2.205221E+01    1.773954E+01
  2.208221E+01    1.773997E+01
  2.211221E+01    1.774040E+01
  2.214221E+01    1.774082E+01
  2.217222E+01    1.774125E+01
  2.220222E+01    1.774168E+01
  2.223222E+01    1.774211E+01
  2.226223E+01    1.774254E+01
  2.229223E+01    1.774297E+01
  2.232223E+01    1.774340E+01
  2.235224E+01    1.774383E+01
  2.238224E+01    1.774426E+01
  2.241224E+01    1.774469E+01
  2.244224E+01    1.774512E+01
  2.247225E+01    1.774556E+01
  2.250225E+01    1.774599E+01
  2.253225E+01    1.774642E+01
  2.256226E+01    1.774685E+01
  2.259226E+01    1.774729E+01
  2.262226E+01    1.774772E+01
